,ID,Name,Subsystem,Reaction,Readable reaction,Lower bound,Upper bound,Reversibility,Boundary,Genes,EC,KEGG,BiGG,VMH
1992,MAR01190,,Leukotriene metabolism,MAM01118c + MAM02039c + MAM02555c <=> MAM01171c + MAM02554c,5-oxo-(6E)-12-epi-LTB4 [c] + H+ [c] + NADPH [c] <=> 6-trans-12-epi-LTB4 [c] + NADP+ [c],-1000.0,1000.0,True,False,ENSG00000157326 or ENSG00000159228 or ENSG00000159231,1.1.1.184,,,HMR_1190
1993,MAR01191,,Leukotriene metabolism,MAM01118m + MAM02039m + MAM02555m <=> MAM01171m + MAM02554m,5-oxo-(6E)-12-epi-LTB4 [m] + H+ [m] + NADPH [m] <=> 6-trans-12-epi-LTB4 [m] + NADP+ [m],-1000.0,1000.0,True,False,ENSG00000157326 or ENSG00000159228 or ENSG00000159231,1.1.1.184,,,RE3307M
1994,MAR01192,,Leukotriene metabolism,MAM01118x + MAM02039x + MAM02555x <=> MAM01171x + MAM02554x,5-oxo-(6E)-12-epi-LTB4 [x] + H+ [x] + NADPH [x] <=> 6-trans-12-epi-LTB4 [x] + NADP+ [x],-1000.0,1000.0,True,False,ENSG00000157326 or ENSG00000159228 or ENSG00000159231,1.1.1.184,,,RE3307X
1995,MAR01193,,Leukotriene metabolism,MAM01118c + MAM02039c + MAM02555c <=> MAM01151c + MAM02554c,"5-oxo-(6E)-12-epi-LTB4 [c] + H+ [c] + NADPH [c] <=> 6,7-dihydro-5-oxo-12-epi-LTB4 [c] + NADP+ [c]",-1000.0,1000.0,True,False,ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974,1.14.14.1,,,RE3308C
1996,MAR01194,,Leukotriene metabolism,MAM01118m + MAM02039m + MAM02555m <=> MAM01151m + MAM02554m,"5-oxo-(6E)-12-epi-LTB4 [m] + H+ [m] + NADPH [m] <=> 6,7-dihydro-5-oxo-12-epi-LTB4 [m] + NADP+ [m]",-1000.0,1000.0,True,False,ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974,1.14.14.1,,,RE3308M
1997,MAR01195,,Leukotriene metabolism,MAM01118r + MAM02039r + MAM02555r <=> MAM01151r + MAM02554r,"5-oxo-(6E)-12-epi-LTB4 [r] + H+ [r] + NADPH [r] <=> 6,7-dihydro-5-oxo-12-epi-LTB4 [r] + NADP+ [r]",-1000.0,1000.0,True,False,ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974,1.14.14.1,,,RE3308R
1998,MAR01196,,Leukotriene metabolism,MAM01118x + MAM02039x + MAM02555x <=> MAM01151x + MAM02554x,"5-oxo-(6E)-12-epi-LTB4 [x] + H+ [x] + NADPH [x] <=> 6,7-dihydro-5-oxo-12-epi-LTB4 [x] + NADP+ [x]",-1000.0,1000.0,True,False,ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974,1.14.14.1,,,RE3308X
1999,MAR01197,,Leukotriene metabolism,MAM01150c + MAM02554c <=> MAM01151c + MAM02039c + MAM02555c,"6,7-dihydro-12-epi-LTB4 [c] + NADP+ [c] <=> 6,7-dihydro-5-oxo-12-epi-LTB4 [c] + H+ [c] + NADPH [c]",-1000.0,1000.0,True,False,,,,,HMR_1197
2000,MAR01198,,Leukotriene metabolism,MAM01150m + MAM02554m <=> MAM01151m + MAM02039m + MAM02555m,"6,7-dihydro-12-epi-LTB4 [m] + NADP+ [m] <=> 6,7-dihydro-5-oxo-12-epi-LTB4 [m] + H+ [m] + NADPH [m]",-1000.0,1000.0,True,False,,,,,HMR_1198
2001,MAR01199,,Leukotriene metabolism,MAM01150x + MAM02554x <=> MAM01151x + MAM02039x + MAM02555x,"6,7-dihydro-12-epi-LTB4 [x] + NADP+ [x] <=> 6,7-dihydro-5-oxo-12-epi-LTB4 [x] + H+ [x] + NADPH [x]",-1000.0,1000.0,True,False,,,,,HMR_1199
